date,hour,average,minimum,maximum
01/11/23,0,0,0,0
01/11/23,1,0,0,0
01/11/23,2,0,0,0
01/11/23,3,0,0,0
01/11/23,4,0,0,0
01/11/23,5,0,0,0
01/11/23,6,0,0,0
01/11/23,7,0,0,0
01/11/23,8,116.6,96,144
01/11/23,9,85.57142857,72,95
01/11/23,10,75.45454545,72,79
01/11/23,11,73.69230769,68,84
01/11/23,12,77.33333333,66,121
01/11/23,13,83,80,86
01/11/23,14,81.58333333,77,90
01/11/23,15,80.63636364,78,86
01/11/23,16,72.45454545,68,77
01/11/23,17,94.31818182,67,127
01/11/23,18,110.2307692,79,140
01/11/23,19,0,0,0
01/11/23,20,0,0,0
01/11/23,21,0,0,0
01/11/23,22,0,0,0
01/11/23,23,0,0,0
04/11/23,0,0,0,0
04/11/23,1,0,0,0
04/11/23,2,0,0,0
04/11/23,3,0,0,0
04/11/23,4,0,0,0
04/11/23,5,0,0,0
04/11/23,6,0,0,0
04/11/23,7,0,0,0
04/11/23,8,0,0,0
04/11/23,9,96.57894737,70,117
04/11/23,10,73.64285714,66,83
04/11/23,11,68.76923077,64,76
04/11/23,12,103.1,72,150
04/11/23,13,71.55555556,69,75
04/11/23,14,0,0,0
04/11/23,15,0,0,0
04/11/23,16,79,79,80
04/11/23,17,88.61904762,76,122
04/11/23,18,82.5,72,113
04/11/23,19,73.84615385,67,83
04/11/23,20,81.83333333,68,93
04/11/23,21,78.38461538,73,93
04/11/23,22,77.33333333,72,84
04/11/23,23,84.35714286,77,106
05/11/23,0,90,90,90
05/11/23,1,77.5,77,78
05/11/23,2,83,83,83
05/11/23,3,0,0,0
05/11/23,4,0,0,0
05/11/23,5,0,0,0
05/11/23,6,0,0,0
05/11/23,7,81,81,81
05/11/23,8,110.0625,71,176
05/11/23,9,148.2352941,96,193
05/11/23,10,129.3333333,88,174
05/11/23,11,77.15384615,71,91
05/11/23,12,98,92,102
05/11/23,13,95.25,72,116
05/11/23,14,91.75,88,100
05/11/23,15,92,80,109
05/11/23,16,90.88235294,79,108
05/11/23,17,96.95454545,79,143
05/11/23,18,98,73,137
05/11/23,19,97.41176471,79,127
05/11/23,20,91.4,87,96
05/11/23,21,87.5,78,107
05/11/23,22,76,74,77
05/11/23,23,0,0,0
07/11/23,0,0,0,0
07/11/23,1,0,0,0
07/11/23,2,0,0,0
07/11/23,3,0,0,0
07/11/23,4,0,0,0
07/11/23,5,0,0,0
07/11/23,6,0,0,0
07/11/23,7,0,0,0
07/11/23,8,0,0,0
07/11/23,9,0,0,0
07/11/23,10,0,0,0
07/11/23,11,0,0,0
07/11/23,12,0,0,0
07/11/23,13,0,0,0
07/11/23,14,82.69230769,76,91
07/11/23,15,77.90909091,73,84
07/11/23,16,106.3103448,79,144
07/11/23,17,90.15789474,72,133
07/11/23,18,128.5263158,71,160
07/11/23,19,116.6923077,84,156
07/11/23,20,89.5,81,96
07/11/23,21,74.5,66,80
07/11/23,22,85.09090909,75,116
07/11/23,23,74.14285714,72,76